24,25
25,26
26,27
26,28
27,28
28,29
28,31
29,31
24,30
30,29
30,34
29,34
31,32
32,33
34,33
32,35
32,36
33,37
37,38
38,39
39,42
42,41
41,40
36,41
36,40
40,43
43,45
45,46
45,48
46,48
44,46
44,51
46,48
51,52
52,53
43,54
53,55
53,59
48,52
48,49
49,50
49,54
49,58
50,58
50,56
56,57
57,60
58,60
60,61
58,61
59,61
59,64
64,66
63,66
63,65
62,65
60,62
57,62
62,67
65,67
67,69
68,69
66,68
68,106
64,105
66,105
106,108
107,108
108,110
108,109
109,111
109,110
107,104
105,107
145,107
145,105
104,145
142,104
142,103
103,104
102,103
139,102
139,103
136,101
136,100
100,102
101,102
136,102
99,135
98,135
98,97
100,44
100,46
100,51
51,52
51,53
52,53
53,54
53,55
54,55
54,59
55,59
53,59
135,98
135,99
99,98
98,96
97,98
97,96
95,97
94,97
92,148
88,148
88,91
91,148
95,38
95,39
38,39
91,87
91,90
37,90
37,38
