,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,moving,n_entry_nodes,n_exit_nodes,n_core_nodes,n_paths,congestion,nb_saturated
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.03571428571428571,0
2,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.375,42,9,2,15,40,0.13095238095238096,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.026785714285714284,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.008928571428571428,0
5,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.19047619047619047,1
6,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.17261904761904762,1
7,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.1577380952380952,1
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.17857142857142858,2
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.16964285714285715,2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.07440476190476189,0
11,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.13988095238095238,1
12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.05357142857142857,0
13,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.25595238095238093,3
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.875,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.22321428571428573,2
15,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5,42,9,2,15,40,0.24404761904761904,2
16,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.5,42,9,2,15,40,0.24404761904761904,2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.044642857142857144,0
18,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.5,42,9,2,15,40,0.2202380952380952,2
19,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.375,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.33035714285714285,4
20,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.23214285714285715,2
21,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.3333333333333333,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.26785714285714285,2
22,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.375,42,9,2,15,40,0.17261904761904762,1
23,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.1845238095238095,2
24,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.19345238095238093,2
25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.08035714285714286,1
26,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.03571428571428571,0
27,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.03571428571428571,0
28,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.12202380952380952,1
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.09821428571428571,1
30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.07142857142857142,1
31,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.13988095238095238,1
32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.16071428571428573,2
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.026785714285714284,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.017857142857142856,0
35,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.125,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.1577380952380952,1
36,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.1636904761904762,1
37,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.12797619047619047,0
38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.10714285714285714,1
39,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.1130952380952381,1
40,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.6666666666666666,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.25,1
41,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,42,9,2,15,40,0.2261904761904762,2
42,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.15773809523809526,1
43,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.125,0.25,0.0,1.0,0.0,0.0,0.0,0.25,42,9,2,15,40,0.24107142857142858,2
44,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.2202380952380952,2
45,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.16071428571428573,1
46,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.625,0.25,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.2767857142857143,2
47,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.125,42,9,2,15,40,0.17261904761904762,1
48,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,42,9,2,15,40,0.25,3
49,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.20238095238095236,2
50,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,9,2,15,40,0.10416666666666666,1
